# Binding of Na+ to POPC:POPS (5:1) mixtures from LIPID17 model
#
# Original data from https://doi.org/10.5281/zenodo.1227272 
# and https://doi.org/10.5281/zenodo.1250975
#
# Results from
# ../../MATCH/Data/Lipid_Bilayers/POPS+83%popc/T298K/MODEL_LIPID17
# ../../MATCH/Data/Lipid_Bilayers/POPS+83%popc+500mMNaCl/T298K/MODEL_LIPID17/
# ../../MATCH/Data/Lipid_Bilayers/POPS+83%popc+1000mMNaCl/T298K/MODEL_LIPID17/
# ../../MATCH/Data/Lipid_Bilayers/POPS+83%popc+2000mMNaCl/T298K/MODEL_LIPID17/
# ../../MATCH/Data/Lipid_Bilayers/POPS+83%popc+4000mMNaCl/T298K/MODEL_LIPID17/
# 
# 
#
# Order parameters as a function of CONCENTRATION NEEDS TO BE CHECKED!
# STEREOCHEMISTRY MIGHT NOT BE CONSERVED AS A FUNCTION OF IONS
#[NaCl]       POPC_a1   error    POPC_a2   error   POPC_b1    error    POPC_b2   error    POPS_a1   error    POPS_a2   error    POPS_b   error 
0             0.160485  0.05736 0.17849  0.04786  -0.00214  0.032105  0.0018   0.03088  0.105455  0.049225  0.09235   0.04808  0.04882  0.051125
0.5           0.17274  0.06131  0.17131  0.05174  0.00579   0.04450   0.00724  0.03512  0.12596   0.08399   0.12503   0.07302  0.09706  0.09191
1.0           0.17514  0.05817  0.17667  0.05023  0.00650   0.03617   0.00894  0.03313  0.10158   0.09958   0.03375   0.08593  -0.00994  0.08084
2.0           0.17041  0.05851  0.18804  0.05232  0.01173   0.04078   0.00815  0.03320  0.09141   0.08776   0.03194   0.11474  -0.01084  0.13302    
4.0           0.12683  0.08702  0.13725  0.08762  0.00354   0.03822   0.00153  0.03582  0.10526   0.17497   0.02232   0.12221  0.00714  0.12770





